ticker,name,sector
CSCO,思科,Information Technology
AXP,美国运通,Financials
GS,高盛,Financials
JPM,摩根大通,Financials
UNH,联合健康,Health Care
AMZN,亚马逊,Consumer Discretionary
HON,霍尼韦尔,Industrials
AAPL,苹果,Information Technology
HD,家得宝,Consumer Discretionary
SHW,宣伟,Materials
MMM,3M公司,Industrials
MSFT,微软,Information Technology
V,维萨,Financials
TRV,旅行者保险,Financials
NKE,耐克,Consumer Discretionary
DIS,迪士尼,Communication Services
MCD,麦当劳,Consumer Discretionary
NVDA,英伟达,Information Technology
MRK,默沙东,Health Care
WMT,沃尔玛,Consumer Staples
BA,波音,Industrials
GOOGL,谷歌-A,Communication Services
KO,可口可乐,Consumer Staples
CAT,卡特彼勒,Industrials
PG,宝洁,Consumer Staples
CVX,雪佛龙,Energy
AMGN,安进,Health Care
JNJ,强生,Health Care
IBM,IBM国际商业机器,Information Technology
CRM,赛富时,Information Technology
