ticker,in_hsi,in_ggt,source
00001,True,True,hsi_ggt_intersection
00002,True,True,hsi_ggt_intersection
00003,True,True,hsi_ggt_intersection
00005,True,True,hsi_ggt_intersection
00006,True,True,hsi_ggt_intersection
00011,True,True,hsi_ggt_intersection
00012,True,True,hsi_ggt_intersection
00016,True,True,hsi_ggt_intersection
00017,True,True,hsi_ggt_intersection
00019,True,True,hsi_ggt_intersection
00027,True,True,hsi_ggt_intersection
00066,True,True,hsi_ggt_intersection
00101,True,True,hsi_ggt_intersection
00175,True,True,hsi_ggt_intersection
00241,True,True,hsi_ggt_intersection
00267,True,True,hsi_ggt_intersection
00268,True,True,hsi_ggt_intersection
00270,True,True,hsi_ggt_intersection
00285,True,True,hsi_ggt_intersection
00288,True,True,hsi_ggt_intersection
00291,True,True,hsi_ggt_intersection
00293,True,True,hsi_ggt_intersection
00388,True,True,hsi_ggt_intersection
00688,True,True,hsi_ggt_intersection
00700,True,True,hsi_ggt_intersection
00762,True,True,hsi_ggt_intersection
00763,True,True,hsi_ggt_intersection
00868,True,True,hsi_ggt_intersection
00883,True,True,hsi_ggt_intersection
00939,True,True,hsi_ggt_intersection
00941,True,True,hsi_ggt_intersection
00992,True,True,hsi_ggt_intersection
01038,True,True,hsi_ggt_intersection
01044,True,True,hsi_ggt_intersection
01088,True,True,hsi_ggt_intersection
01099,True,True,hsi_ggt_intersection
01109,True,True,hsi_ggt_intersection
01113,True,True,hsi_ggt_intersection
01177,True,True,hsi_ggt_intersection
01211,True,True,hsi_ggt_intersection
01288,True,True,hsi_ggt_intersection
01398,True,True,hsi_ggt_intersection
01658,True,True,hsi_ggt_intersection
01766,True,True,hsi_ggt_intersection
01810,True,True,hsi_ggt_intersection
01876,True,True,hsi_ggt_intersection
01928,True,True,hsi_ggt_intersection
01997,True,True,hsi_ggt_intersection
02007,True,True,hsi_ggt_intersection
02013,True,True,hsi_ggt_intersection
02018,True,True,hsi_ggt_intersection
02313,True,True,hsi_ggt_intersection
02318,True,True,hsi_ggt_intersection
02328,True,True,hsi_ggt_intersection
02331,True,True,hsi_ggt_intersection
02382,True,True,hsi_ggt_intersection
02388,True,True,hsi_ggt_intersection
02628,True,True,hsi_ggt_intersection
02688,True,True,hsi_ggt_intersection
02888,True,True,hsi_ggt_intersection
03328,True,True,hsi_ggt_intersection
03690,True,True,hsi_ggt_intersection
03888,True,True,hsi_ggt_intersection
03968,True,True,hsi_ggt_intersection
06098,True,True,hsi_ggt_intersection
06185,True,True,hsi_ggt_intersection
06862,True,True,hsi_ggt_intersection
09633,True,True,hsi_ggt_intersection
09668,True,True,hsi_ggt_intersection
09988,True,True,hsi_ggt_intersection
09999,True,True,hsi_ggt_intersection
01024,True,True,hsi_ggt_intersection
02020,True,True,hsi_ggt_intersection
02359,True,True,hsi_ggt_intersection
06618,True,True,hsi_ggt_intersection
01896,True,True,hsi_ggt_intersection
02196,True,True,hsi_ggt_intersection
02269,True,True,hsi_ggt_intersection
