ticker,name,industry,total_mv,float_mv,pe_ttm,pb,total_shares,float_shares,is_hkgt_sh,is_hkgt_sz,is_hkgt
00001,长和,综合企业,249500000000.0,249500000000.0,21.07,0.443,3830000000.0,3830000000.0,True,True,True
00002,中电控股,公用事业,192500000000.0,192500000000.0,18.39,1.789,2526000000.0,2526000000.0,True,True,True
00003,香港中华煤气,公用事业,122800000000.0,122800000000.0,21.59,2.069,18660000000.0,18660000000.0,True,True,True
00005,汇丰控股,银行,2620000000000.0,2620000000000.0,12.03,1.696,17180000000.0,17180000000.0,True,True,True
00006,电能实业,公用事业,123000000000.0,123000000000.0,19.72,1.355,2131000000.0,2131000000.0,True,True,True
00012,恒基地产,地产,120500000000.0,120500000000.0,21.31,0.374,4841000000.0,4841000000.0,True,True,True
00016,新鸿基地产,地产,334400000000.0,334400000000.0,32.63,0.538,2898000000.0,2898000000.0,True,True,True
00027,银河娱乐,旅游及消闲设施,134400000000.0,134400000000.0,12.6,1.617,4379000000.0,4379000000.0,True,True,True
00066,港铁公司,旅游及消闲设施,193200000000.0,193200000000.0,13.16,1.005,6225000000.0,6225000000.0,True,True,True
00101,恒隆地产,地产,36940000000.0,36940000000.0,20.46,0.274,5203000000.0,5203000000.0,True,True,True
00175,吉利汽车,汽车,195400000000.0,195400000000.0,10.35,1.811,10780000000.0,10780000000.0,True,True,True
00241,阿里健康,药品及生物科技,54829999999.99999,54829999999.99999,6.25,2.712,16180000000.000002,16180000000.000002,True,True,True
00267,中信股份,综合企业,317400000000.0,317400000000.0,4.88,0.366,29090000000.0,29090000000.0,True,True,True
00285,比亚迪电子,资讯科技器材,48530000000.0,48530000000.0,12.47,1.273,2253000000.0,2253000000.0,True,True,True
00288,万洲国际,食物饮品,99690000000.0,99690000000.0,8.18,1.145,12830000000.000002,12830000000.000002,True,True,True
00291,华润啤酒,食物饮品,71760000000.0,71760000000.0,19.23,2.009,3244000000.0,3244000000.0,True,True,True
00300,美的集团,家庭电器及用品,673800000000.0,57600000000.0,11.73,2.561,7613000000.0,650800000.0,True,True,True
00316,东方海外国际,工用运输,84000000000.0,84000000000.0,7.13,0.805,660400000.0,660400000.0,True,True,True
00322,康师傅控股,食物饮品,62410000000.0,62410000000.0,12.52,3.763,5637000000.0,5637000000.0,True,True,True
00386,中国石油化工股份,石油及天然气,493400000000.0,97030000000.0,6.4,0.523,120900000000.0,23780000000.0,True,True,True
00388,香港交易所,其他金融,481800000000.0,481800000000.0,23.22,8.736,1268000000.0,1268000000.0,True,True,True
00669,创科实业,家庭电器及用品,230900000000.0,230900000000.0,24.77,4.265,1828000000.0,1828000000.0,True,True,True
00688,中国海外发展,地产,137100000000.0,137100000000.0,9.76,0.319,10940000000.0,10940000000.0,True,True,True
00700,腾讯控股,软件服务,4270000000000.0,4270000000000.0,16.22,3.343,9093000000.0,9093000000.0,True,True,True
00728,中国电信,电讯,412700000000.0,62590000000.0,12.39,0.778,91510000000.0,13880000000.000002,True,True,True
00762,中国联通,电讯,194300000000.0,194300000000.0,8.78,0.477,30600000000.0,30600000000.0,True,True,True
00823,领展房产基金,地产,98190000000.0,98190000000.0,,,2599000000.0,2599000000.0,False,False,False
00836,华润电力,公用事业,89930000000.0,89930000000.0,6.19,0.808,5177000000.0,5177000000.0,True,True,True
00857,中国石油股份,石油及天然气,1660000000000.0,190900000000.0,7.56,0.9,183000000000.0,21100000000.0,True,True,True
00868,信义玻璃,工业工程,37340000000.0,37340000000.0,12.36,0.916,4424000000.0,4424000000.0,True,True,True
00883,中国海洋石油,石油及天然气,1030000000000.0,969200000000.0,5.83,1.091,47530000000.0,44540000000.0,True,True,True
00939,建设银行,银行,2120000000000.0,1940000000000.0,5.41,0.527,261600000000.0,240400000000.0,True,True,True
00941,中国移动,电讯,1700000000000.0,1630000000000.0,12.81,1.031,21680000000.0,20780000000.0,True,True,True
00960,龙湖集团,地产,42940000000.0,42940000000.0,37.95,0.238,7097000000.0,7097000000.0,True,True,True
00968,信义光能,工业工程,18020000000.0,18020000000.0,19.27,0.546,9147000000.0,9147000000.0,True,True,True
00981,中芯国际,半导体,714000000000.0,501600000000.0,115.35,4.21,8561000000.0,6014000000.0,True,True,True
00992,联想集团,资讯科技器材,299000000000.0,299000000000.0,4.99,4.996,12400000000.0,12400000000.0,True,True,True
01024,快手-W,媒体及娱乐,183000000000.0,155000000000.0,13.92,1.966,4341000000.0,3676000000.0,True,True,True
01038,长江基建集团,公用事业,151100000000.0,151100000000.0,18.28,1.181,2520000000.0,2520000000.0,True,True,True
01044,恒安国际,消费者主要零售商,26430000000.0,26430000000.0,9.42,1.098,1155000000.0,1155000000.0,True,True,True
01088,中国神华,煤炭,891900000000.0,138900000000.0,16.56,1.626,21690000000.0,3377000000.0000005,True,True,True
01093,石药集团,药品及生物科技,90110000000.0,90110000000.0,23.13,2.453,11520000000.0,11520000000.0,True,True,True
01099,国药控股,药品及生物科技,51900000000.0,22310000000.0,8.1,0.536,3121000000.0,1342000000.0,True,True,True
01109,华润置地,地产,225900000000.0,225900000000.0,8.03,0.705,7131000000.0,7131000000.0,True,True,True
01113,长实集团,地产,156600000000.0,156600000000.0,14.44,0.395,3500000000.0,3500000000.0,True,True,True
01177,中国生物制药,药品及生物科技,93710000000.0,93710000000.0,36.12,2.76,18710000000.0,18710000000.0,True,True,True
01209,华润万象生活,地产,84910000000.0,84910000000.0,19.32,4.96,2282000000.0,2282000000.0,True,True,True
01211,比亚迪股份,汽车,753100000000.0,304200000000.0,40.7,2.867,9117000000.0,3683000000.0,True,True,True
01299,友邦保险,保险,747500000000.0,747500000000.0,15.41,2.221,10350000000.0,10350000000.0,True,True,True
01378,中国宏桥,一般金属及矿石,197400000000.0,197400000000.0,7.88,1.344,9819000000.0,9819000000.0,True,True,True
01398,工商银行,银行,2370000000000.0,578000000000.0,6.03,0.532,356400000000.0,86790000000.0,True,True,True
01519,极兔速递-W,工用运输,87550000000.0,78750000000.0,56.7,3.566,9664000000.0,8692000000.0,True,True,True
01801,信达生物,药品及生物科技,150600000000.0,150600000000.0,167.18,7.027,1741000000.0,1741000000.0,True,True,True
01810,小米集团-W,资讯科技器材,645100000000.0,534000000000.0,30.15,2.142,25790000000.0,21340000000.0,True,True,True
01876,百威亚太,食物饮品,81980000000.0,81980000000.0,11.57,1.027,13240000000.0,13240000000.0,True,True,True
01928,金沙中国有限公司,旅游及消闲设施,107000000000.0,107000000000.0,15.34,9.814,8093000000.000001,8093000000.000001,True,True,True
01929,周大福,专业零售,112700000000.0,112700000000.0,3.13,3.638,9866000000.0,9866000000.0,True,True,True
