code_numeric,中文名称,最新价,成交额
09988,阿里巴巴－Ｗ,108.1,18928949371
02513,智谱,2018.0,18325658096
00700,腾讯控股,469.4,17991355278
00981,中芯国际,83.8,17469738954
01347,华虹宏力,203.2,10842798566
01810,小米集团－Ｗ,25.18,7807549433
06869,长飞光纤光缆,160.0,6549752590
01888,建滔积层板,68.5,6349349021
00100,MINIMAX-W,295.8,6029376188
03986,兆易创新,956.5,4170653783
02475,立讯精密,61.0,3649203351
03690,美团－Ｗ,78.7,3452042940
00992,联想集团,24.18,3181397436
00148,建滔集团,77.95,3142564466
09903,天数智芯,618.0,3008249477
01211,比亚迪股份,82.85,2615724397
06082,壁仞科技,49.48,2393638141
01024,快手－Ｗ,42.42,2333551692
06809,澜起科技,384.2,1980351101
09999,网易,212.8,1935381894
06951,三环集团,104.7,1660836560
09992,泡泡玛特,150.8,1615609428
03750,宁德时代,634.5,1606947029
02318,中国平安,53.1,1388819804
00939,建设银行,8.08,1306208352
00763,中兴通讯,24.86,1256146449
06166,剑桥科技,117.9,1253496347
01299,友邦保险,72.4,1250317769
02899,紫金矿业,29.4,1233485015
02269,药明生物,37.04,1226286929
00883,中国海洋石油,21.78,1218758404
02476,胜宏科技,262.8,1202291807
00005,汇丰控股,151.8,1156988138
03696,英矽智能,39.22,1121948892
03988,中国银行,5.01,1098124687
09888,百度集团－ＳＷ,114.5,1078448887
00388,香港交易所,379.6,1077527410
02628,中国人寿,29.0,1036426174
01801,信达生物,86.6,1009725899
00941,中国移动,78.55,997409893
02259,紫金黄金国际,100.3,979637921
00522,ASMPT,198.8,976575432
09618,京东集团－ＳＷ,107.9,957085940
00568,山东墨龙,5.1,915924956
09926,康方生物,95.0,818503405
01093,石药集团,7.86,787762100
01398,工商银行,6.65,772724842
00175,吉利汽车,18.14,772510035
09880,优必选,88.2,761465941
00386,中国石油化工股份,4.09,741092085
09868,小鹏集团－Ｗ,51.0,734244858
03896,金山云,5.47,733330362
01772,赣锋锂业,43.1,706666381
01377,鼎泰高科,381.8,702091546
01378,中国宏桥,20.14,695683910
00020,商汤－Ｗ,1.4,691260556
00300,美的集团,88.5,689935943
09626,哔哩哔哩－Ｗ,137.8,668163957
02577,英诺赛科,56.5,660082535
01729,汇聚科技,16.87,649748713
09961,携程集团－Ｓ,323.4,626491133
02382,舜宇光学科技,56.5,624817277
01177,中国生物制药,5.01,624553577
00857,中国石油股份,9.07,621751429
02715,埃斯顿,21.08,616259065
09660,地平线机器人－Ｗ,4.38,592601118
06160,百济神州,182.4,577340461
03993,洛阳钼业,14.68,535151324
01364,古茗,20.18,534550627
02359,药明康德,149.6,532409696
06990,科伦博泰生物,473.8,525353830
01530,三生制药,17.02,518982673
00358,江西铜业股份,30.16,511012613
02388,中银香港,45.38,501096479
01088,中国神华,41.12,500425948
06682,范式智能,29.88,498685754
02015,理想汽车－Ｗ,47.04,470077365
06181,老铺黄金,380.4,450139578
03330,灵宝黄金,14.3,450044508
01109,华润置地,31.68,418894933
02328,中国财险,14.28,414177446
00016,新鸿基地产,115.5,406965616
02162,康诺亚－Ｂ,84.5,393586281
03296,华勤技术,66.7,380791309
02685,量化派,15.52,380043340
01336,新华保险,48.1,379877110
03692,翰森制药,31.14,375913312
02631,天岳先进,82.9,372812167
09995,荣昌生物,82.65,372746268
02650,挚达科技,29.88,365204142
